incident_state,incident_city,Number Of Occurences,Year Last Recorded,Population,Total area-sq mi,Land Area-sq mi,Water Area-sq mi,Pop Density,Govt Spending on Transportation
NC,Arlington,25,2007,816,0.8,0.8,0,1020,N/A
NC,Columbus,10,2021,1139,3.77,3.76,0.01,302.1220159,1260186
NC,Hillsdale,14,2010,984,1.37,1.3,0.07,718.2481752,N/A
NC,Northbend,14,2021,232,0.094,N/A,N/A,2468.085106,N/A
NC,Northbrook,12,2020,5623,51.3,N/A,N/A,109.6101365,N/A
NC,Riverwood,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NC,Springfield,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NY,Arlington,39,2021,2651,0.61,0.61,0,4345.901639,N/A
NY,Columbus,47,2010,975,37.49,37.37,0.12,26.00693518,N/A
NY,Hillsdale,34,2010,1927,47.89,47.72,0.16,40.23804552,N/A
NY,Northbend,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NY,Northbrook,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NY,Riverwood,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NY,Springfield,43,2010,1358,45.51,42.89,2.61,29.83959569,N/A
OH,Arlington,5,2021,1698,0.79,0.79,0,2149.367089,N/A
OH,Columbus,3,2021,898143,226.26,220.4,5.86,3969.517369,81262692
OH,Hillsdale,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OH,Northbend,2,2021,1056,1.15,1.09,0.06,918.2608696,N/A
OH,Northbrook,3,2021,11005,1.93,1.93,0,5702.072539,N/A
OH,Riverwood,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OH,Springfield,5,2021,58992,26.36,26.16,0.2,2237.936267,175050
PA,Arlington,1,2021,1974,0.47,,0.47,4200,N/A
PA,Columbus,4,2021,903,2.27,2.27,0,397.7973568,N/A
PA,Hillsdale,6,2010,1246,1.54,,1.54,809.0909091,N/A
PA,Northbend,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PA,Northbrook,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PA,Riverwood,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PA,Springfield,5,2007,23802,6.34,6.32,0.02,3754.258675,N/A
SC,Arlington,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SC,Columbus,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SC,Hillsdale,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SC,Northbend,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SC,Northbrook,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SC,Riverwood,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SC,Springfield,38,2021,546,1.74,1.74,0,313.7931034,
VA,Arlington,15,2021,235764,26,26,0,9067.846154,50900
VA,Columbus,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VA,Hillsdale,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VA,Northbend,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VA,Northbrook,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VA,Riverwood,16,2010,188,0.073,0.073,0,2575.342466,N/A
VA,Springfield,17,2021,31769,7.9,7.9,0,4021.392405,2557745
WV,Arlington,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV,Columbus,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV,Hillsdale,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV,Northbend,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV,Northbrook,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV,Riverwood,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV,Springfield,34,2021,407,1.341,1.34,0.001,303.5048471,N/A
