State,City,Number Of Occurences,Year Last Recorded,Population
NC,Arlington,25,2007,816
NC,Columbus,10,2021,1139
NC,Hillsdale,14,2010,984
NC,Northbend,14,2021,232
NC,Northbrook,12,N/A,N/A
NC,Riverwood,20,N/A,N/A
NC,Springfield,15,N/A,N/A
NY,Arlington,39,2021,2021
NY,Columbus,47,2010,975
NY,Hillsdale,34,2010,1927
NY,Northbend,34,N/A,N/A
NY,Northbrook,31,N/A,N/A
NY,Riverwood,34,N/A,N/A
NY,Springfield,43,2010,1358
OH,Arlington,5,2021,1698
OH,Columbus,3,2021,898143
OH,Hillsdale,3,N/A,N/A
OH,Northbend,2,2021,1056
OH,Northbrook,3,2021,11005
OH,Riverwood,2,N/A,N/A
OH,Springfield,5,2021,58992
PA,Arlington,1,2021,1974
PA,Columbus,4,2021,903
PA,Hillsdale,6,2010,1246
PA,Northbend,5,N/A,N/A
PA,Northbrook,5,N/A,N/A
PA,Riverwood,4,N/A,N/A
PA,Springfield,5,2007,23802
SC,Arlington,38,N/A,N/A
SC,Columbus,39,N/A,N/A
SC,Hillsdale,33,N/A,N/A
SC,Northbend,38,N/A,N/A
SC,Northbrook,29,N/A,N/A
SC,Riverwood,33,N/A,N/A
SC,Springfield,38,2021,546
VA,Arlington,15,2021,235764
VA,Columbus,12,N/A,N/A
VA,Hillsdale,22,N/A,N/A
VA,Northbend,14,N/A,N/A
VA,Northbrook,14,N/A,N/A
VA,Riverwood,16,2010,188
VA,Springfield,17,2021,31769
WV,Arlington,29,N/A,N/A
WV,Columbus,34,N/A,N/A
WV,Hillsdale,29,N/A,N/A
WV,Northbend,38,N/A,N/A
WV,Northbrook,28,N/A,N/A
WV,Riverwood,25,N/A,N/A
WV,Springfield,34,2021,407
